timestamp,algorithm,trajectory,v_max,trial,rmse_m
1780827567,nominal,circle,2.5,1,0.062800
1780827694,nominal,circle,5.0,1,0.119870
1780827862,nominal,circle,7.5,1,0.171180
1780828070,nominal,circle,10.0,1,0.220210
1780828317,nominal,circle,12.5,1,0.259190
1780828407,nominal,wrapped_circle,2.5,1,0.064030
1780828538,nominal,wrapped_circle,5.0,1,0.124800
1780828716,nominal,wrapped_circle,7.5,1,0.174310
1780828968,nominal,wrapped_circle,10.0,1,0.215840
1780829224,nominal,wrapped_circle,12.5,1,0.331180
1780829315,nominal,lemniscate,2.5,1,0.058950
1780831862,nominal,lemniscate,5.0,1,0.116710
1780832095,nominal,lemniscate,7.5,1,0.158750
1780832315,nominal,lemniscate,10.0,1,0.195610
1780832575,nominal,lemniscate,12.5,1,0.297250
1780832692,nominal,wrapped_lemniscate,2.5,1,0.061070
1780832883,nominal,wrapped_lemniscate,5.0,1,0.124690
1780833111,nominal,wrapped_lemniscate,7.5,1,0.176840
1780833323,nominal,wrapped_lemniscate,10.0,1,0.299460
1780833571,nominal,wrapped_lemniscate,12.5,1,0.467770
1780833662,ssi,circle,2.5,1,0.010060
1780833793,ssi,circle,5.0,1,0.017280
1780834008,ssi,circle,7.5,1,0.029210
1780834219,ssi,circle,10.0,1,0.054560
1780834471,ssi,circle,12.5,1,0.089780
1780834565,ssi,wrapped_circle,2.5,1,0.011870
1780834691,ssi,wrapped_circle,5.0,1,0.025780
1780834862,ssi,wrapped_circle,7.5,1,0.043240
1780835072,ssi,wrapped_circle,10.0,1,0.069680
1780835328,ssi,wrapped_circle,12.5,1,0.248170
1780835419,ssi,lemniscate,2.5,1,0.012610
1780835798,ssi,lemniscate,5.0,1,0.025000
1780836019,ssi,lemniscate,7.5,1,0.041340
1780836281,ssi,lemniscate,10.0,1,0.071270
1780836540,ssi,lemniscate,12.5,1,0.184620
1780836634,ssi,wrapped_lemniscate,2.5,1,0.014100
1780836770,ssi,wrapped_lemniscate,5.0,1,0.035920
1780836943,ssi,wrapped_lemniscate,7.5,1,0.074860
1780837156,ssi,wrapped_lemniscate,10.0,1,0.183550
1780837414,ssi,wrapped_lemniscate,12.5,1,0.388430
1780840150,gpmpc,circle,10.0,1,0.127900
1780840505,gpmpc,circle,2.5,1,0.066050
1780840638,gpmpc,circle,5.0,1,0.077320
1780840811,gpmpc,circle,7.5,1,0.096630
1780841065,gpmpc,circle,12.5,1,0.168140
1780841159,gpmpc,wrapped_circle,2.5,1,0.073770
1780841287,gpmpc,wrapped_circle,5.0,1,0.083340
1780841464,gpmpc,wrapped_circle,7.5,1,0.104300
1780841710,gpmpc,wrapped_circle,10.0,1,0.135320
1780841966,gpmpc,wrapped_circle,12.5,1,0.264750
1780842059,gpmpc,lemniscate,2.5,1,0.065780
1780842193,gpmpc,lemniscate,5.0,1,0.074120
1780842366,gpmpc,lemniscate,7.5,1,0.093560
1780842579,gpmpc,lemniscate,10.0,1,0.122820
1780842833,gpmpc,lemniscate,12.5,1,0.208250
1780842927,gpmpc,wrapped_lemniscate,2.5,1,0.073630
1780843101,gpmpc,wrapped_lemniscate,5.0,1,0.080670
1780843320,gpmpc,wrapped_lemniscate,7.5,1,0.111570
1780843544,gpmpc,wrapped_lemniscate,10.0,1,0.231260
1780843801,gpmpc,wrapped_lemniscate,12.5,1,0.409580
1780925130,ssi_n100,circle,10.0,1,0.050120
1780925380,ssi_n100,wrapped_circle,10.0,1,0.067300
1780925600,ssi_n100,lemniscate,10.0,1,0.071350
1780925813,ssi_n100,wrapped_lemniscate,10.0,1,0.183930
1780926024,ssi_n100_lr015,circle,10.0,1,0.053630
1780926529,nominal,letter_zyy,10.0,1,0.022320
1780926729,ssi,letter_zyy,10.0,1,0.004620
1780927740,ssi,letter_zyy,10.0,1,0.002130
1780997113,ssi_n100_lr015,wrapped_circle,10.0,1,0.073840
1780997321,ssi_n100_lr015,lemniscate,10.0,1,0.076640
1780997529,ssi_n100_lr015,wrapped_lemniscate,10.0,1,0.193150
1780997748,ssi_longhorizon,circle,10.0,1,0.050470
1780997958,ssi_longhorizon,wrapped_circle,10.0,1,0.071300
1780998177,ssi_longhorizon,lemniscate,10.0,1,0.072930
1780998390,ssi_longhorizon,wrapped_lemniscate,10.0,1,0.173110
1780999676,rdrv,circle,10.0,1,0.099600
1780999941,rdrv,wrapped_circle,10.0,1,0.107380
1781000154,rdrv,lemniscate,10.0,1,0.091450
1781000367,rdrv,wrapped_lemniscate,10.0,1,0.197700
