algorithm,trajectory,v_max,n_trials,rmse_mean,rmse_std
gpmpc,circle,10.0,1,0.127900,0
gpmpc,circle,12.5,1,0.168140,0
gpmpc,circle,2.5,1,0.066050,0
gpmpc,circle,5.0,1,0.077320,0
gpmpc,circle,7.5,1,0.096630,0
gpmpc,lemniscate,10.0,1,0.122820,0
gpmpc,lemniscate,12.5,1,0.208250,0
gpmpc,lemniscate,2.5,1,0.065780,0
gpmpc,lemniscate,5.0,1,0.074120,0
gpmpc,lemniscate,7.5,1,0.093560,0
gpmpc,wrapped_circle,10.0,1,0.135320,0
gpmpc,wrapped_circle,12.5,1,0.264750,0
gpmpc,wrapped_circle,2.5,1,0.073770,0
gpmpc,wrapped_circle,5.0,1,0.083340,0
gpmpc,wrapped_circle,7.5,1,0.104300,0
gpmpc,wrapped_lemniscate,10.0,1,0.231260,0
gpmpc,wrapped_lemniscate,12.5,1,0.409580,0
gpmpc,wrapped_lemniscate,2.5,1,0.073630,0
gpmpc,wrapped_lemniscate,5.0,1,0.080670,0
gpmpc,wrapped_lemniscate,7.5,1,0.111570,0
nominal,circle,10.0,1,0.220210,0
nominal,circle,12.5,1,0.259190,0
nominal,circle,2.5,1,0.062800,0
nominal,circle,5.0,1,0.119870,0
nominal,circle,7.5,1,0.171180,0
nominal,lemniscate,10.0,1,0.195610,0
nominal,lemniscate,12.5,1,0.297250,0
nominal,lemniscate,2.5,1,0.058950,0
nominal,lemniscate,5.0,1,0.116710,0
nominal,lemniscate,7.5,1,0.158750,0
nominal,letter_zyy,10.0,1,0.022320,0
nominal,wrapped_circle,10.0,1,0.215840,0
nominal,wrapped_circle,12.5,1,0.331180,0
nominal,wrapped_circle,2.5,1,0.064030,0
nominal,wrapped_circle,5.0,1,0.124800,0
nominal,wrapped_circle,7.5,1,0.174310,0
nominal,wrapped_lemniscate,10.0,1,0.299460,0
nominal,wrapped_lemniscate,12.5,1,0.467770,0
nominal,wrapped_lemniscate,2.5,1,0.061070,0
nominal,wrapped_lemniscate,5.0,1,0.124690,0
nominal,wrapped_lemniscate,7.5,1,0.176840,0
rdrv,circle,10.0,1,0.099600,0
rdrv,lemniscate,10.0,1,0.091450,0
rdrv,wrapped_circle,10.0,1,0.107380,0
rdrv,wrapped_lemniscate,10.0,1,0.197700,0
ssi,circle,10.0,1,0.054560,0
ssi,circle,12.5,1,0.089780,0
ssi,circle,2.5,1,0.010060,0
ssi,circle,5.0,1,0.017280,0
ssi,circle,7.5,1,0.029210,0
ssi,lemniscate,10.0,1,0.071270,0
ssi,lemniscate,12.5,1,0.184620,0
ssi,lemniscate,2.5,1,0.012610,0
ssi,lemniscate,5.0,1,0.025000,0
ssi,lemniscate,7.5,1,0.041340,0
ssi,letter_zyy,10.0,2,0.003375,0.001245
ssi,wrapped_circle,10.0,1,0.069680,0
ssi,wrapped_circle,12.5,1,0.248170,0
ssi,wrapped_circle,2.5,1,0.011870,0
ssi,wrapped_circle,5.0,1,0.025780,0
ssi,wrapped_circle,7.5,1,0.043240,0
ssi,wrapped_lemniscate,10.0,1,0.183550,0
ssi,wrapped_lemniscate,12.5,1,0.388430,0
ssi,wrapped_lemniscate,2.5,1,0.014100,0
ssi,wrapped_lemniscate,5.0,1,0.035920,0
ssi,wrapped_lemniscate,7.5,1,0.074860,0
ssi_longhorizon,circle,10.0,1,0.050470,0
ssi_longhorizon,lemniscate,10.0,1,0.072930,0
ssi_longhorizon,wrapped_circle,10.0,1,0.071300,0
ssi_longhorizon,wrapped_lemniscate,10.0,1,0.173110,0
ssi_n100,circle,10.0,1,0.050120,0
ssi_n100,lemniscate,10.0,1,0.071350,0
ssi_n100,wrapped_circle,10.0,1,0.067300,0
ssi_n100,wrapped_lemniscate,10.0,1,0.183930,0
ssi_n100_lr015,circle,10.0,1,0.053630,0
ssi_n100_lr015,lemniscate,10.0,1,0.076640,0
ssi_n100_lr015,wrapped_circle,10.0,1,0.073840,0
ssi_n100_lr015,wrapped_lemniscate,10.0,1,0.193150,0
